,Key,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
65,IBM,427.0,323.0,750.0,323.0,1230216.0,25000.0,97259.82500498343,49.0,127.0,230243.0,1910226.125,1744860.375,1744638.875,1866671.75
66,IBM,457.0,303.0,760.0,303.0,1491708.0,50000.0,133304.9636585225,57.0,137.0,283280.0,2178595.0,2171219.0,2128601.375,2177162.375
67,IBM,435.0,335.0,770.0,335.0,1525314.0,50000.0,132210.6710973059,58.0,160.0,361556.0,3662454.875,3246013.25,3578179.0,3655092.5
68,IBM,471.0,309.0,780.0,309.0,1437670.0,44800.0,119571.20155790022,60.0,147.0,304654.0,2638956.75,1694940.75,1403563.25,2309046.75
69,IBM,452.0,338.0,790.0,338.0,1476303.0,25000.0,107755.67443527046,53.0,148.0,315400.0,3201842.25,2696467.5,2935648.125,3150295.0
70,IBM,463.0,337.0,800.0,337.0,1482487.0,50000.0,128615.66580708588,64.0,154.0,309630.0,2182211.375,1990764.375,1983806.125,2150269.25
71,IBM,451.0,359.0,810.0,359.0,1526064.0,50000.0,139904.03493109124,57.0,160.0,276886.0,2506983.0,1464770.0,942310.125,1959050.5
72,IBM,480.0,340.0,820.0,340.0,1598526.0,50000.0,133886.38949497443,67.0,147.0,294574.0,2303104.5,1774987.75,1905125.5,2200574.5
73,IBM,482.0,348.0,830.0,348.0,1621100.0,50000.0,122450.32206572591,56.0,154.0,362015.0,2518485.875,2182827.375,2390351.75,2500637.375
74,IBM,512.0,328.0,840.0,328.0,1630123.0,50000.0,131244.3136711073,67.0,134.0,299140.0,2812236.75,2584977.875,2359183.5,2769710.5
75,IBM,499.0,351.0,850.0,351.0,1872424.0,50000.0,161553.42218597536,65.0,171.0,358111.0,3385332.375,2716405.125,2391762.625,3284894.375
76,IBM,523.0,337.0,860.0,337.0,1515562.0,44800.0,112747.22008989844,57.0,149.0,301002.0,2217779.75,1424785.375,1887581.5,2162477.375
77,IBM,503.0,367.0,870.0,367.0,1662821.0,50000.0,135757.0629801632,57.0,170.0,368562.0,3741346.625,3207055.875,3408341.25,3698021.125
78,IBM,497.0,383.0,880.0,383.0,1514872.0,50000.0,127540.72394337427,60.0,177.0,308800.0,3243107.0,2701231.25,2625324.125,3151197.0
79,IBM,497.0,393.0,890.0,393.0,1630806.0,44800.0,128751.31115448884,56.0,177.0,374645.0,3629276.375,3472456.375,3386067.0,3616276.375
80,IBM,516.0,384.0,900.0,384.0,1855563.0,50000.0,147128.7229775342,57.0,167.0,426140.0,3330983.5,3016440.625,3093265.625,3298344.125
81,IBM,521.0,389.0,910.0,389.0,1586205.0,40000.0,126416.20506485709,63.0,178.0,343937.0,2691676.875,2280220.875,2309891.125,2623429.5
82,IBM,525.0,395.0,920.0,395.0,1656147.0,50000.0,130009.59141924875,87.0,160.0,361883.0,3193794.75,2773858.75,2847839.625,3142014.125
83,IBM,502.0,428.0,930.0,428.0,1774569.0,30000.0,118740.76572517124,86.0,196.0,438421.0,3929793.0,3352458.5,3418899.25,3851885.0
84,IBM,532.0,408.0,940.0,408.0,1533526.0,25000.0,106118.99979739726,79.0,159.0,327790.0,2259656.125,1658702.0,2042389.75,2215269.625
85,IBM,565.0,385.0,950.0,385.0,2037770.0,50000.0,161280.3241874222,81.0,172.0,485010.0,5548396.0,5428864.75,5430346.375,5544883.125
86,IBM,509.0,451.0,960.0,451.0,1758771.0,50000.0,139334.33941064205,72.0,165.0,324935.0,2291572.375,2241371.375,2259425.375,2289626.5
87,IBM,561.0,409.0,970.0,409.0,2022524.0,50000.0,162149.59380152638,63.0,236.0,483380.0,5601048.125,4319724.75,2617850.5,4887417.25
88,IBM,547.0,433.0,980.0,433.0,1546830.0,25000.0,104334.81000126468,73.0,191.0,367150.0,3011002.0,2802696.0,2875091.125,3002603.75
89,IBM,554.0,436.0,990.0,436.0,1725285.0,50000.0,127647.36156693565,87.0,165.0,369418.0,3241470.25,2784387.0,2970586.75,3212240.5
