Total traders,Unnamed: 0,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain,Optimal market size,Normalized market size,log10(M),MIDA-lottery ratio,MIDA-Vickrey traders ratio,MIDA-Vickrey total ratio
"(420, 458]",100,2200.0,1.0,10.0,250.0,220.0,220.0,440.0,220.0,4400.0,10.0,10.0,1.0,209.76176963403032,1092.1,1092.1,1092.1,272287.50899951963,255759.67725228932,241741.918526923,270646.51254557766,1092.1,109.21000000000001,1.0,0.9393743034450628,0.8880287596547557,0.9939857958144576
"(458, 496]",101,2400.0,1.0,10.0,250.0,240.0,240.0,480.0,240.0,4800.0,10.0,10.0,1.0,219.08902300206643,1201.2,1201.2,1201.2,300384.90836658655,276708.6027856822,255280.44783744094,296990.44189484883,1201.2,120.12,1.0,0.921040229497741,0.8496316491511335,0.9886440562254577
"(496, 534]",102,2600.0,1.0,10.0,250.0,260.0,260.0,520.0,260.0,5200.0,10.0,10.0,1.0,228.03508501982756,1306.9,1306.9,1306.9,327264.2113373069,298316.5264227786,273472.01824601024,322387.9720038318,1306.9,130.69,1.0,0.9119614221223138,0.8362758466757721,0.9852275445794906
"(534, 572]",103,2800.0,1.0,10.0,250.0,280.0,280.0,560.0,280.0,5600.0,10.0,10.0,1.0,236.6431913239847,1401.2,1401.2,1401.2,352732.12307708705,318447.6308778091,288202.3481485865,347626.06114835007,1401.2,140.12,1.0,0.9023648440766305,0.8162476605409896,0.9854220728260632
"(572, 610]",104,3000.0,1.0,10.0,250.0,300.0,300.0,600.0,300.0,6000.0,10.0,10.0,1.0,244.94897427831785,1499.0,1499.0,1499.0,373020.33604738844,346586.21334417805,323600.95798807114,370308.8207827284,1499.0,149.89999999999998,1.0,0.9290554706464137,0.8674151565003004,0.992723434840667
"(610, 648]",105,3200.0,1.0,10.0,250.0,320.0,320.0,640.0,320.0,6400.0,10.0,10.0,1.0,252.9822128134703,1592.8,1592.8,1592.8,397467.4699122916,373519.059155879,352087.2180815313,394794.0444348799,1592.8,159.27999999999997,1.0,0.9398559730614421,0.8860304938981981,0.9933001345124962
"(648, 686]",106,3400.0,1.0,10.0,250.0,340.0,340.0,680.0,340.0,6800.0,10.0,10.0,1.0,260.76809620810593,1704.2,1704.2,1704.2,424602.967747812,401629.04743610404,381228.18228823313,422265.9961348857,1704.2,170.42000000000002,1.0,0.945760293958996,0.8975972862945477,0.9944719763063612
"(686, 724]",107,3600.0,1.0,10.0,250.0,360.0,360.0,720.0,360.0,7200.0,10.0,10.0,1.0,268.3281572999748,1810.8,1810.8,1810.8,453540.89680585184,417964.724221937,387534.88920203486,448384.378023042,1810.8,181.08,1.0,0.9217092423692759,0.854783543462102,0.9886554005851416
"(724, 762]",108,3800.0,1.0,10.0,250.0,380.0,380.0,760.0,380.0,7600.0,10.0,10.0,1.0,275.6809750418044,1900.2,1900.2,1900.2,476043.12749453087,453513.10097475944,432677.318252109,473992.00310840877,1900.2,190.02,1.0,0.9527425874512929,0.9090747270000566,0.995692097237435
"(762, 800]",109,4000.0,1.0,10.0,250.0,400.0,400.0,800.0,400.0,8000.0,10.0,10.0,1.0,282.84271247461896,1996.3,1996.3,1996.3,494224.51476496924,457669.88316850894,425781.46954388,489734.4872932628,1996.3,199.62999999999997,1.0,0.9263589080843545,0.8621622809853516,0.9910063526626975
