,Symbol,Date,Walrasian Price
254,HE ,901218.0,31.0
255,TCI,910124.0,inf
256,CU ,901102.0,16.375
257,IS ,910114.0,inf
258,RDA,910110.0,27.125
259,POM,901207.0,20.5
260,IEI,901219.0,inf
261,HTR,910115.0,10.25
262,W  ,910123.0,27.125
263,ALL,901212.0,9.125
264,USH,910102.0,inf
265,NSP,901219.0,35.125
266,MRT,901212.0,3.125
267,AMN,901221.0,39.0
268,MDP,901130.0,22.75
269,DI ,901228.0,20.75
270,DSI,901128.0,10.625
271,DI ,901106.0,19.0
272,NSP,910121.0,32.875
273,SPF,901126.0,5.125
274,FFB,901120.0,16.375
275,ALX,901204.0,inf
276,DI ,910114.0,19.25
277,GRH,901106.0,3.0
278,VCC,901220.0,inf
279,VRC,901101.0,13.375
280,CYR,910104.0,31.5
281,AMD,901212.0,4.875
282,SNT,901204.0,51.375
283,ICM,901129.0,3.75
284,GLX,901119.0,31.125
285,FOE,901121.0,18.25
286,PIR,910129.0,5.375
287,DLT,901213.0,0.625
288,BA ,901213.0,46.125
289,IPT,910115.0,16.25
290,DBD,910128.0,34.75
291,FLP,910110.0,1.125
292,UTD,910128.0,16.125
293,FPC,901205.0,38.0
294,AMO,901120.0,9.75
295,FFB,910121.0,17.125
296,KFV,901112.0,10.75
297,HTR,901114.0,9.875
298,PIM,901206.0,6.75
299,DSI,910102.0,10.75
300,GBE,901224.0,1.25
301,MCN,901221.0,21.5
302,CYM,910121.0,18.0
303,SPF,901129.0,5.125
304,DSI,910125.0,10.875
305,NT ,901123.0,25.25
306,NSI,901226.0,25.5
307,LUK,901126.0,21.5
308,KWD,910130.0,13.75
309,BA ,910128.0,47.625
310,FNM,910130.0,39.0
311,KR ,901106.0,12.375
312,PCO,901108.0,17.875
313,T  ,910107.0,29.875
314,MDP,910110.0,inf
315,CYM,910130.0,19.0
316,EKO,910103.0,inf
317,CP ,901107.0,15.75
318,ATE,901128.0,34.0
319,MO ,910103.0,50.0
320,PPL,910129.0,inf
321,HE ,901123.0,29.75
322,SAH,910124.0,3.625
323,FDX,901109.0,33.375
324,TEK,910128.0,18.875
325,CL ,910107.0,69.75
326,AR ,901204.0,25.5
327,PLP,901119.0,inf
328,URS,901205.0,inf
329,OEH,901206.0,2.5
330,FPL,901130.0,27.625
331,IS ,910128.0,2.25
332,ICM,910109.0,4.25
333,FLP,910117.0,1.5
334,BRT,901115.0,4.625
335,NIC,910108.0,inf
336,UMG,901107.0,inf
337,MC ,901101.0,152.0
338,LOG,901226.0,inf
339,AMN,901203.0,38.375
340,PMI,910114.0,inf
341,DI ,901214.0,20.625
342,SJI,901120.0,19.125
343,CUC,901220.0,inf
344,MC ,901207.0,128.625
345,LOG,910128.0,21.375
346,RPS,910103.0,5.5
347,UMG,901203.0,2.125
348,ADU,910117.0,inf
349,IBM,910114.0,106.75
350,BRT,910115.0,2.75
351,EHP,901220.0,1.5
352,CYM,901126.0,15.875
353,T  ,901106.0,34.875
354,GMH,901204.0,25.0
355,KWD,901207.0,10.375
356,SWY,901113.0,11.875
357,IPT,910129.0,18.0
358,GBE,901129.0,1.625
359,BMC,910129.0,inf
360,USH,901126.0,29.125
361,FPC,901219.0,38.375
362,SLB,901128.0,56.625
363,MRT,910124.0,2.375
364,PIR,901114.0,4.0
365,SNT,901126.0,49.75
366,UEP,910128.0,29.25
367,IBM,901129.0,112.25
368,DSI,910104.0,10.75
369,FPL,910102.0,29.25
370,HTR,901121.0,9.875
371,PIM,910129.0,6.875
372,BG ,901224.0,inf
373,PH ,910115.0,inf
374,HAT,901128.0,14.5
375,CU ,901126.0,inf
376,GMH,910115.0,16.75
377,IPT,901102.0,19.375
378,UWR,910109.0,inf
379,ZIF,901219.0,4.625
380,VRC,901127.0,9.0
381,T  ,910125.0,31.125
382,MDP,910124.0,24.25
383,CMI,901210.0,20.75
384,UEP,910109.0,29.0
385,CPY,910108.0,inf
386,DBD,901120.0,35.375
